Feature,Coefficient,Abs_Coefficient
Contract_Two year,-1.1938786319459143,1.1938786319459143
InternetService_Fiber optic,0.7439125216233698,0.7439125216233698
Contract_One year,-0.6590331085552275,0.6590331085552275
PhoneService_Yes,-0.4814825403078673,0.4814825403078673
OnlineSecurity_Yes,-0.4158614922881791,0.4158614922881791
PaymentMethod_Electronic check,0.4105895543845589,0.4105895543845589
TechSupport_Yes,-0.3839095826655575,0.3839095826655575
PaperlessBilling_Yes,0.3485102228125493,0.3485102228125493
MultipleLines_Yes,0.27292111203122366,0.27292111203122366
Dependents_Yes,-0.24100182209155493,0.24100182209155493
MultipleLines_No phone service,0.19277129227870593,0.19277129227870593
OnlineBackup_Yes,-0.18016155605846945,0.18016155605846945
StreamingMovies_Yes,0.1620791751247881,0.1620791751247881
StreamingTV_Yes,0.16206977078933613,0.16206977078933613
SeniorCitizen,0.127475127166907,0.127475127166907
OnlineBackup_No internet service,-0.09977316152918979,0.09977316152918979
InternetService_No,-0.09977316152918979,0.09977316152918979
OnlineSecurity_No internet service,-0.09977316152918979,0.09977316152918979
StreamingMovies_No internet service,-0.09977316152918977,0.09977316152918977
StreamingTV_No internet service,-0.09977316152918977,0.09977316152918977
DeviceProtection_No internet service,-0.09977316152918977,0.09977316152918977
TechSupport_No internet service,-0.09977316152918977,0.09977316152918977
DeviceProtection_Yes,-0.07082068295884755,0.07082068295884755
PaymentMethod_Credit card (automatic),-0.06567728741394471,0.06567728741394471
tenure,-0.05278231535921541,0.05278231535921541
PaymentMethod_Mailed check,0.03765569927127322,0.03765569927127322
Partner_Yes,0.011416115519336746,0.011416115519336746
gender,0.01133199794958808,0.01133199794958808
MonthlyCharges,0.0030136451910549597,0.0030136451910549597
TotalCharges,0.0002469733489180676,0.0002469733489180676
